planet_name,ml_habitability_score,combined_discovery_score
Gliese 12 b,0.9078732202716173,0.8998954664525172
TRAPPIST-1 f,0.8651556326174648,0.8387722291861265
TRAPPIST-1 e,0.8294317540266042,0.7950810843307933
TRAPPIST-1 c,0.7942986248092729,0.7686658152802
LP 791-18 d,0.7720426420072237,0.7519733711909011
TRAPPIST-1 g,0.7917212207788026,0.7475441825342599
TRAPPIST-1 b,0.7398201393011952,0.7026183909684939
Kepler-54 c,0.7134299482899554,0.6894905758441137
Kepler-138 e,0.7338323125999873,0.6894850487054858
TRAPPIST-1 d,0.7025234721303495,0.6642753831620628
Kepler-49 e,0.6969251667434281,0.6634093169257074
TOI-4336 A c,0.6619681681412029,0.6300225824830821
TRAPPIST-1 h,0.6786946287198253,0.6266322364951759
Kepler-176 e,0.6502518224310245,0.6173845756652007
LHS 1678 c,0.577024475784015,0.559752084671918
Kepler-42 d,0.5632892296203984,0.5424828862036843
LTT 1445 A c,0.5579293804867977,0.5402060113134212
L 98-59 d,0.5617259957832286,0.5370226059480214
Kepler-80 g,0.558128386641065,0.5303457093984265
Kepler-42 b,0.5278754112171071,0.5292470085081814
LHS 1140 c,0.5353085501844425,0.5155841565906124
K2-3 d,0.5606220771795257,0.5113652222516127
Kepler-114 b,0.5201861147069109,0.5052851692436995
Kepler-85 e,0.5159358061222887,0.5039711722782794
Kepler-138 b,0.5252144982078097,0.5013158642335925
GJ 357 b,0.5038119527201979,0.4860962031471512
Kepler-54 b,0.5104314466157838,0.48479708630683316
TOI-270 b,0.505090887263412,0.4834343439662021
Kepler-138 d,0.5049298767055669,0.48244893238450115
Kepler-37 c,0.4951206395212374,0.4789182593252753
HD 23472 f,0.4945440165650185,0.4771257958477275
GJ 3929 b,0.4937699774085074,0.4755389326040075
L 98-59 b,0.5003929247818832,0.4754146150586878
LHS 1815 b,0.4956760341860744,0.4725227312904592
Kepler-345 b,0.49289986048707357,0.4698582832736544
GJ 1132 b,0.48203303075286363,0.4602520038341692
L 98-59 c,0.4669078486895723,0.4512060773440828
TOI-5388.01,0.4725360473402728,0.4511318369772108
Kepler-138 c,0.47079600856573195,0.4451257423235011
Kepler-20 f,0.45274566149997225,0.4367448680361013
KOI-1831 d,0.4407718566089827,0.4313436398886527
TOI-1450 A b,0.45465130331970455,0.4306198319207407
Kepler-28 b,0.45158090643391074,0.428258943890785
HD 23472 e,0.4449406892982218,0.4240184275657417
TOI-406 c,0.4395089504331489,0.42213145368589106
Kepler-83 c,0.4575633151234408,0.4213130009676101
Kepler-345 c,0.4234121310188918,0.4095320627320889
Kepler-28 c,0.4208614265548193,0.40850761398248014
Kepler-37 d,0.4208709754349262,0.40567802557000693
Kepler-37 b,0.4209043092963449,0.40301926531929
